UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Austin Sites,"P-C Interactions, ECLS-B_READ",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,R...25,Parental Stress_PSOC #3,R...27,Parental Stress_PSOC #5,R...29,Parental Stress_PSOC #8,R...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,psoc_all,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,fiqhb_all,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,R...109,Belonging SCS2,R...111,Belonging SCS3,R...113,Belonging SCS4,R...115,Belonging SCS5,R...117,Belonging SCS6,R...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,FIVE...128,Kinder Readiness SPEAK2,FIVE...130,Kinder Readiness SPEAK3,FIVE...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,R...138,Kinder Readiness SPEAK7 - REVERSE,R...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL,...158,...159,...160,...161,...162,...163,...164,...165,...166,...167,...168,...169,...170,...171,...172,...173,...174,...175,...176,...177,...178,...179,...180,...181,...182,...183,...184,...185,...186,...187,...188,...189,...190,...191,...192,...193,...194,...195,...196,...197,...198,...199,...200,...201,...202,...203,...204,...205,...206,...207,...208,...209,...210,...211,...212,...213,...214,...215,...216,...217,...218,...219,...220,...221,...222,...223,...224,...225,...226,...227,...228,...229,...230,...231,...232,...233,...234,...235,...236,...237
A4745,63,2020-09-22T19:53:00Z,2020-09-22T20:14:00Z,Complete,2002,Austin,"North Site, Wednesday",1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Somewhat Disagree,4,Somewhat Agree,3,Agree,2,Strongly Agree,1,Somewhat Agree,4,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,41,N/A,0,N/A,0,Often,3,N/A,0,3,Sometimes,2,Often,3,Sometimes,2,Often,3,Sometimes,2,Always,4,Often,3,Often,3,Often,3,Sometimes,2,Always,4,Always,4,35,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,13,Always,5,Always,5,Always,5,Often,4,19,Often,4,Always,5,Always,5,Always,5,Always,5,24,Slightly Disagree,4,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Disagree,5,Slightly Agree,3,Agree,5,Slightly Disagree,3,Disagree,2,33,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Disagree,4,Disagree,3,Strongly Agree,0,Agree,1,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7188,64,2020-09-22T20:49:00Z,2020-09-25T11:45:00Z,Complete,1986,Austin,"South Site, Monday",Not at all,1,1 to 2 times a week,2,Every day,4,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,9,Agree,5,Agree,2,Somewhat Agree,3,Disagree,5,Agree,2,Strongly Agree,6,Agree,5,Agree,5,Somewhat Agree,4,Agree,5,42,N/A,0,Rarely,1,N/A,0,Rarely,1,2,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Often,3,Rarely,1,Always,4,N/A,0,19,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,12,Sometimes,3,Always,5,Seldom,2,Sometimes,3,Seldom,2,15,Disagree,5,Slightly Disagree,4,Slightly Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Strongly Agree,6,Agree,5,47,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Neutral,2,Agree,1,Strongly Disagree,0,Agree,3,Agree,1,Neutral,2,Agree,1,Agree,1,Agree,1,Strongly Disagree,4,Strongly Disagree,4,Agree,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2657,65,2020-09-22T22:55:00Z,2020-09-22T23:19:00Z,Complete,1978,Austin,"South Site, Tuesday",1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Disagree,5,Disagree,5,Disagree,5,Agree,2,Agree,5,Agree,5,Agree,5,Disagree,2,Agree,5,44,N/A,0,N/A,0,N/A,0,Sometimes,2,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Often,3,Rarely,1,Often,3,N/A,0,23,N/A,0,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,5,Often,4,Often,4,Often,4,Often,4,16,Sometimes,3,Often,4,Often,4,Often,4,Sometimes,3,18,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Disagree,3,Neutral,2,Agree,3,Disagree,1,Strongly Agree,0,Neutral,2,Neutral,2,Agree,1,Neutral,2,Disagree,3,Agree,1,Agree,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6324,66,2020-09-23T10:41:00Z,2020-09-23T10:59:00Z,Complete,1996,Austin,"South Site, Monday",Not at all,1,1 to 2 times a week,2,3 to 6 times a week,3,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,11,Somewhat Agree,4,Agree,2,Disagree,5,Agree,2,Agree,2,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Agree,5,36,Sometimes,2,Sometimes,2,Often,3,Rarely,1,8,Often,3,Sometimes,2,Always,4,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Always,4,Often,3,Always,4,Sometimes,2,Always,4,33,Often,3,Sometimes,2,Sometimes,2,Rarely,1,Often,3,11,Often,4,Often,4,Often,4,Sometimes,3,15,Often,4,Often,4,Often,4,Sometimes,3,Often,4,19,Slightly Disagree,4,Slightly Disagree,4,Slightly Agree,3,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Agree,5,Slightly Agree,4,Agree,5,36,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Agree,1,Disagree,3,Disagree,1,Neutral,2,Agree,1,Neutral,2,Agree,1,Agree,1,Agree,1,Neutral,2,Disagree,3,Agree,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5398,67,2020-09-23T10:52:00Z,2020-09-23T13:23:00Z,Complete,1988,Austin,"North Site, Wednesday",1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Somewhat Agree,4,Disagree,5,Strongly Disagree,6,Somewhat Disagree,4,Somewhat Agree,3,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Disagree,3,Agree,5,44,N/A,0,Sometimes,2,Always,4,Often,3,9,Often,3,Often,3,Often,3,Always,4,Often,3,Often,3,Often,3,Always,4,Always,4,Always,4,Always,4,Always,4,42,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Often,4,Always,5,Often,4,18,Often,4,Always,5,Always,5,Often,4,Often,4,22,Slightly Agree,3,Slightly Agree,3,Disagree,5,Disagree,5,Slightly Disagree,4,Disagree,5,Agree,5,Slightly Agree,4,Agree,5,39,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Strongly Agree,0,Strongly Disagree,4,Neutral,2,Agree,3,Agree,1,Disagree,3,Disagree,3,Neutral,2,Disagree,3,Disagree,3,Neutral,2,Agree,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9882,68,2020-09-23T10:52:00Z,2020-09-23T11:19:00Z,Complete,1996,Austin,"North Site, Monday",1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,16,Agree,5,Agree,2,Disagree,5,Agree,2,Somewhat Agree,3,Strongly Agree,6,Agree,5,Agree,5,Disagree,2,Strongly Agree,6,41,Often,3,Always,4,Always,4,Often,3,14,Often,3,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Often,3,Often,3,Sometimes,2,Always,4,41,Always,4,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,13,Always,5,Always,5,Always,5,Always,5,20,Often,4,Often,4,Often,4,Always,5,Always,5,22,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Strongly Agree,0,Disagree,3,Neutral,2,Agree,3,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Disagree,3,Neutral,2,Disagree,3,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7128,69,2020-09-23T11:02:00Z,2020-09-23T11:25:00Z,Complete,1978,Austin,"North Site, Monday",1 to 2 times  a week,2,Not at all,1,Every day,4,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,9,Somewhat Agree,4,Strongly Agree,1,Agree,2,Somewhat Agree,3,Strongly Agree,1,Somewhat Disagree,3,Agree,5,Strongly Disagree,1,Somewhat Agree,4,Agree,5,29,N/A,0,Sometimes,2,N/A,0,Often,3,5,Sometimes,2,Often,3,Rarely,1,Sometimes,2,Rarely,1,Often,3,Rarely,1,Sometimes,2,Sometimes,2,Always,4,Often,3,N/A,0,24,Rarely,1,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,8,Often,4,Sometimes,3,Sometimes,3,Often,4,14,Sometimes,3,Sometimes,3,Sometimes,3,Always,5,Sometimes,3,17,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Slightly Agree,4,Strongly Agree,6,45,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Disagree,3,Strongly Disagree,4,Disagree,1,Agree,3,Agree,1,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7293,70,2020-09-23T11:06:00Z,2020-09-23T12:22:00Z,Complete,1984,Austin,"North Site, Monday",3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Agree,5,Strongly Disagree,6,Strongly Disagree,6,Somewhat Disagree,4,Strongly Agree,1,Strongly Agree,6,Agree,5,Strongly Agree,6,Disagree,2,Agree,5,46,Sometimes,2,Rarely,1,Often,3,Sometimes,2,8,Always,4,Always,4,Always,4,Always,4,Often,3,Always,4,Often,3,Always,4,Often,3,Always,4,Often,3,Often,3,43,Rarely,1,Sometimes,2,Sometimes,2,Rarely,1,Often,3,9,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Often,4,Always,5,Always,5,24,Strongly Disagree,6,Disagree,5,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Agree,2,Strongly Agree,6,Agree,5,Agree,5,46,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Disagree,4,Disagree,3,Agree,3,Strongly Agree,4,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Agree,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7322,71,2020-09-23T11:46:00Z,2020-09-23T16:32:00Z,Complete,1993,Austin,"North Site, Monday",1 to 2 times  a week,2,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,13,Somewhat Agree,4,Somewhat Disagree,4,Disagree,5,Agree,2,Agree,2,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Strongly Agree,6,41,N/A,0,Sometimes,2,N/A,0,Always,4,6,Always,4,Often,3,Always,4,Always,4,Often,3,Sometimes,2,Always,4,Always,4,Always,4,Rarely,1,Often,3,Always,4,40,N/A,0,Sometimes,2,Always,4,Rarely,1,Often,3,10,Always,5,Often,4,Often,4,Often,4,17,Sometimes,3,Always,5,Always,5,Always,5,Sometimes,3,21,Slightly Disagree,4,Disagree,5,Slightly Disagree,4,Disagree,5,Disagree,5,Disagree,5,Slightly Agree,4,Slightly Disagree,3,Slightly Disagree,3,38,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Agree,1,Disagree,3,Agree,3,Agree,3,Neutral,2,Strongly Disagree,4,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Agree,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4776,72,2020-09-23T12:00:00Z,2020-09-23T12:14:00Z,Complete,1992,Austin,"South Site, Monday",Every day,4,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,15,Somewhat Agree,4,Disagree,5,Strongly Disagree,6,Agree,2,Strongly Agree,1,Somewhat Agree,4,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Strongly Disagree,1,36,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,9,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Rarely,1,Always,4,Often,3,Often,3,Always,4,Often,3,Often,3,32,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,9,Often,4,Sometimes,3,Always,5,Often,4,16,Seldom,2,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,15,Disagree,5,Slightly Agree,3,Slightly Agree,3,Disagree,5,Strongly Agree,1,Disagree,5,Agree,5,Agree,5,Agree,5,37,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Strongly Disagree,4,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5426,73,2020-09-23T12:11:00Z,2020-09-30T09:05:00Z,Complete,1988,Austin,"South Site, Monday",3 to 6 times a week,3,1 to 2 times a week,2,Every day,4,3 to 6 times a week,3,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,13,Agree,5,Disagree,5,Somewhat Disagree,4,Disagree,5,Somewhat Disagree,4,Agree,5,Agree,5,Strongly Agree,6,Disagree,2,Strongly Agree,6,47,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Often,3,Always,4,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,Often,3,Often,3,N/A,0,30,N/A,0,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,7,Always,5,Always,5,Always,5,Often,4,19,Sometimes,3,Always,5,Seldom,2,Sometimes,3,Sometimes,3,16,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Agree,5,Strongly Agree,6,Agree,5,51,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Disagree,4,Strongly Disagree,4,Disagree,1,Agree,3,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Agree,1,Agree,1,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4523,74,2020-09-23T14:45:00Z,2020-09-23T15:10:00Z,Complete,1989,Austin,"South Site, Monday",1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Strongly Agree,6,Somewhat Agree,3,Somewhat Agree,3,Strongly Agree,1,Strongly Agree,1,Strongly Disagree,1,Agree,5,Agree,5,Somewhat Agree,4,Strongly Agree,6,35,N/A,0,N/A,0,N/A,0,Rarely,1,1,Rarely,1,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,Always,4,Always,4,Often,3,31,N/A,0,Often,3,Often,3,Often,3,Often,3,12,Often,4,Always,5,Always,5,Often,4,18,Often,4,Often,4,Always,5,Always,5,Sometimes,3,21,Slightly Agree,3,Agree,2,Strongly Agree,1,Disagree,5,Disagree,5,Strongly Agree,1,Strongly Agree,6,Agree,5,Strongly Agree,6,34,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,"In preschool, 3 to 5 years",2,Strongly Agree,0,Neutral,2,Strongly Agree,4,Neutral,2,Strongly Agree,0,Neutral,2,Agree,1,Agree,1,Strongly Disagree,4,Agree,1,Agree,1,Agree,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3961,75,2020-09-23T14:45:00Z,2020-09-28T19:11:00Z,Complete,1980,Austin,"North Site, Monday",Every day,4,Every day,4,Every day,4,Not at all,1,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Agree,5,Disagree,5,Disagree,5,Agree,2,Agree,2,Agree,5,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Agree,4,42,N/A,0,N/A,0,Sometimes,2,N/A,0,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,Sometimes,2,Always,4,Sometimes,2,Always,4,Always,4,Always,4,34,Always,4,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,14,Always,5,Always,5,Always,5,Seldom,2,17,Always,5,Always,5,Always,5,Always,5,Seldom,2,22,Slightly Agree,3,Slightly Disagree,4,Disagree,5,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Slightly Agree,4,Slightly Agree,4,Slightly Disagree,3,34,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"In preschool, 3 to 5 years",2,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,0,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3782,76,2020-09-23T14:46:00Z,2020-09-23T15:01:00Z,Complete,1989,Austin,"South Site, Monday",1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Agree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,Somewhat Agree,4,Strongly Agree,6,53,N/A,0,Often,3,N/A,0,Often,3,6,Sometimes,2,Sometimes,2,Often,3,Often,3,Often,3,Sometimes,2,Often,3,Often,3,Sometimes,2,Always,4,Sometimes,2,N/A,0,29,Always,4,Often,3,Often,3,Rarely,1,Often,3,14,Often,4,Often,4,Often,4,Often,4,16,Often,4,Always,5,Often,4,Always,5,Sometimes,3,21,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Slightly Agree,4,Slightly Agree,4,50,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Agree,1,Disagree,3,Strongly Agree,4,Strongly Agree,4,Agree,1,Strongly Disagree,4,Agree,1,Neutral,2,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Agree,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
