UID,Response ID,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Dallas Sites,"P-C Interactions, ECLS-B_READ",...8,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, HOME...15",...16,"P-C Interactions, HOME...17",...18,ECLSB_ALL,Parental Stress_PSOC #1,...21,Parental Stress_PSOC #2,R...23,Parental Stress_PSOC #3,R...25,Parental Stress_PSOC #5,R...27,Parental Stress_PSOC #8,R...29,Parental Stress_PSOC #10,...31,Parental Stress_PSOC #13,...33,Parental Stress_PSOC #15,...35,Parental Stress_PSOC #16,...37,Parental Stress_PSOC #17,...39,psoc_all,"P-C Interactions, FIQ SBI1",...42,"P-C Interactions, FIQ SBI2",...44,"P-C Interactions, FIQ SBI3",...46,"P-C Interactions, FIQ SBI4",...48,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...51,"P-C Interactions, FIQ HBI2",...53,"P-C Interactions, FIQ HBI3",...55,"P-C Interactions, FIQ HBI4",...57,"P-C Interactions, FIQ HBI5",...59,"P-C Interactions, FIQ HBI6",...61,"P-C Interactions, FIQ HBI8",...63,"P-C Interactions, FIQ HBI9",...65,"P-C Interactions, FIQ HBI10",...67,"P-C Interactions, FIQ HBI11",...69,"P-C Interactions, FIQ HBI12",...71,"P-C Interactions, FIQ HBI13",...73,fiqhb_all,"P-C Interactions, FIQ HSC3",...76,"P-C Interactions, FIQ HSC4",...78,"P-C Interactions, FIQ HSC5",...80,"P-C Interactions, FIQ HSC6",...82,"P-C Interactions, FIQ HSC7",...84,FIQHSC_ALL,Efficacy FES1,...87,Efficacy FES3,...89,Efficacy FES4,...91,Efficacy FES6,...93,FESFAM_ALL,Efficacy FES7,...96,Efficacy FES9,...98,Efficacy FES10,...100,Efficacy FES11,...102,Efficacy FES14,...104,FESADV_ALL,Belonging SCS1,R...107,Belonging SCS2,R...109,Belonging SCS3,R...111,Belonging SCS4,R...113,Belonging SCS5,R...115,Belonging SCS6,R...117,Belonging SCS7,...119,Belonging SCS10,...121,Belonging SCS11,...123,SCS_ALL,Kinder Readiness SPEAK1,FIVE...126,Kinder Readiness SPEAK2,FIVE...128,Kinder Readiness SPEAK3,FIVE...130,Kinder Readiness SPEAK4,...132,Kinder Readiness SPEAK5,...134,Kinder Readiness SPEAK6 - REVERSE,R...136,Kinder Readiness SPEAK7 - REVERSE,R...138,Kinder Readiness SPEAK9,...140,Kinder Readiness SPEAK10,...142,Kinder Readiness SPEAK11,...144,Kinder Readiness SPEAK12,...146,Kinder Readiness SPEAK13,...148,Kinder Readiness SPEAK13 - REVERSE,...150,Kinder Readiness SPEAK14,...152,Kinder Readiness SPEAK15,...154,SPEAK_ALL
NA,12,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,13,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9451,565,Complete,1987,Dallas,Pleasant Grove,3 to 6 times a week,3,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Somewhat Agree,4,Somewhat Disagree,4,Strongly Disagree,6,Agree,2,Strongly Agree,1,Somewhat Disagree,3,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,37,Rarely,1,Often,3,Sometimes,2,N/A,0,6,Often,3,Often,3,Rarely,1,Often,3,Often,3,Rarely,1,Rarely,1,Sometimes,2,Often,3,Always,4,Sometimes,2,Sometimes,2,28,Always,4,Often,3,Often,3,Sometimes,2,Often,3,15,Often,4,Sometimes,3,Always,5,Sometimes,3,15,Often,4,Always,5,Seldom,2,Always,5,Sometimes,3,19,Slightly Agree,3,Disagree,5,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Strongly Agree,6,47,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Strongly Disagree,4,Agree,3,Agree,3,Agree,1,Strongly Disagree,4,Neutral,2,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Neutral,2,49
NA,15,Partial,1983,Dallas,North Dallas 1,Not at all,1,Not at all,1,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,9,Somewhat Agree,4,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Disagree,2,Strongly Disagree,1,Strongly Disagree,1,Strongly Agree,6,Disagree,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,16,Disqualified,1975,Dallas,Botello,1 to 2 times  a week,2,1 to 2 times a week,2,Not at all,1,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Strongly Agree,6,Strongly Disagree,6,Somewhat Agree,3,Somewhat Disagree,4,Disagree,5,Somewhat Disagree,3,Strongly Agree,6,Agree,5,Strongly Disagree,1,Somewhat Agree,4,43,N/A,0,N/A,0,N/A,0,Rarely,1,1,Sometimes,2,Always,4,Always,4,Often,3,Always,4,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Often,3,42,Often,3,Rarely,1,Always,4,Sometimes,2,Often,3,13,Always,5,Always,5,Sometimes,3,Always,5,18,Always,5,Always,5,Never,1,Sometimes,3,Always,5,19,Strongly Disagree,6,Strongly Agree,1,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Slightly Agree,4,Agree,5,Slightly Agree,4,43,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Agree,1,Neutral,2,Agree,3,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Agree,1,Neutral,2,39
NA,17,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,18,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4653,363,Complete,1996,Dallas,Fort Worth 1,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Strongly Agree,6,Strongly Agree,6,Disagree,2,Agree,5,47,N/A,0,N/A,0,Rarely,1,Sometimes,2,3,Rarely,1,Rarely,1,Often,3,Sometimes,2,Sometimes,2,Rarely,1,Often,3,Often,3,Rarely,1,Rarely,1,Always,4,N/A,0,22,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Often,4,Often,4,Often,4,17,Always,5,Often,4,Seldom,2,Often,4,Sometimes,3,18,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,49,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Agree,1,Neutral,2,Neutral,2,Neutral,2,Neutral,2,37
A2873,363,Complete,1996,Dallas,Fort Worth 1,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Strongly Agree,6,Strongly Agree,6,Disagree,2,Agree,5,47,N/A,0,N/A,0,Rarely,1,Sometimes,2,3,Rarely,1,Rarely,1,Often,3,Sometimes,2,Sometimes,2,Rarely,1,Often,3,Often,3,Rarely,1,Rarely,1,Always,4,N/A,0,22,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Often,4,Often,4,Often,4,17,Always,5,Often,4,Seldom,2,Often,4,Sometimes,3,18,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,49,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Agree,1,Neutral,2,Neutral,2,Neutral,2,Neutral,2,37
A2347,747,Complete,2000,Dallas,North Dallas 1,Not at all,1,1 to 2 times a week,2,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Strongly Agree,6,Strongly Disagree,6,Somewhat Disagree,4,Disagree,5,Somewhat Agree,3,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,49,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Often,3,Always,4,Rarely,1,Often,3,Rarely,1,Rarely,1,Always,4,Always,4,Rarely,1,Sometimes,2,N/A,0,26,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Always,5,Always,5,Always,5,20,Sometimes,3,Always,5,Often,4,Always,5,Often,4,21,Slightly Agree,3,Slightly Agree,3,Disagree,5,Slightly Disagree,4,Slightly Agree,3,Slightly Disagree,4,Slightly Agree,4,Slightly Disagree,3,Slightly Agree,4,33,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Neutral,2,Disagree,3,Neutral,2,Agree,3,Neutral,2,Disagree,3,Agree,1,Agree,1,Strongly Disagree,4,Disagree,3,Disagree,3,Agree,1,40
NA,21,Partial,1968,Dallas,Clarke,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Often,4,17,Agree,5,Somewhat Agree,3,Somewhat Agree,3,Disagree,5,Agree,2,Agree,5,Agree,5,Somewhat Agree,4,Disagree,2,Agree,5,39,N/A,0,Sometimes,2,Sometimes,2,Sometimes,2,6,Often,3,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Often,3,Sometimes,2,N/A,0,26,Sometimes,2,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,7,Sometimes,3,Often,4,Often,4,Often,4,15,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
