UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Sonoma Sites,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,...25,Parental Stress_PSOC #3,...27,Parental Stress_PSOC #5,...29,Parental Stress_PSOC #8,...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,PSOC_ALL,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB_ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,...109,Belonging SCS2,...111,Belonging SCS3,...113,Belonging SCS4,...115,Belonging SCS5,...117,Belonging SCS6,...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,...128,Kinder Readiness SPEAK2,...130,Kinder Readiness SPEAK3,...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,...138,Kinder Readiness SPEAK7 - REVERSE,...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL
NA,11,2020-09-09T12:30:11Z,2020-09-09T12:30:53Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,12,2020-09-09T12:31:08Z,2020-09-09T12:31:11Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9642,13,2020-09-15T17:52:54Z,2020-09-15T17:56:56Z,Partial,1987,Sonoma,La Luz II,3 to 6 times a week,NA,1 to 2 times a week,NA,1 to 2 times a week,NA,3 to 6 times a week,NA,Parents should <strong>usually</strong> spend time teaching their children,NA,Often,NA,NA,Agree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Somewhat Agree,NA,Strongly Agree,NA,Agree,NA,Somewhat Agree,NA,Agree,NA,Strongly Agree,NA,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9642,14,2020-09-15T18:00:48Z,2020-09-15T18:02:03Z,Partial,1987,Sonoma,La Luz II,3 to 6 times a week,NA,1 to 2 times a week,NA,3 to 6 times a week,NA,Every day,NA,Parents should <strong>usually</strong> allow their children to learn <strong>on their own</strong>,NA,Often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9642,15,2020-09-15T22:17:06Z,2020-09-15T22:47:56Z,Complete,1987,Sonoma,La Luz II,3 to 6 times a week,3,Not at all,1,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>usually</strong> allow their children to learn <strong>on their own</strong>,0,Often,4,14,Agree,5,Disagree,5,Strongly Disagree,6,Somewhat Disagree,4,Strongly Agree,1,Strongly Disagree,1,Strongly Disagree,1,Strongly Agree,6,Agree,5,Somewhat Agree,4,38,N/A,0,Often,3,N/A,0,N/A,0,3,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Often,3,Often,3,Sometimes,2,Rarely,1,Always,4,N/A,0,22,N/A,0,Rarely,1,Often,3,Often,3,Often,3,10,Often,4,Sometimes,3,Sometimes,3,Sometimes,3,13,Sometimes,3,Sometimes,3,Sometimes,3,Never,1,Seldom,2,12,Slightly Disagree,4,Strongly Disagree,6,Slightly Disagree,4,Slightly Disagree,4,Slightly Disagree,4,Disagree,5,Slightly Agree,4,Strongly Agree,6,Slightly Agree,4,41,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Disagree,3,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Disagree,3,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Agree,0,43
A6713,16,2020-09-16T10:59:03Z,2020-09-16T12:14:38Z,Complete,1994,Sonoma,La Luz II,Every day,4,Every day,4,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,NA,Always,5,21,Agree,5,Somewhat Agree,3,Strongly Agree,1,Somewhat Agree,3,Agree,2,Somewhat Agree,4,Agree,5,Agree,5,Strongly Disagree,1,Strongly Agree,6,35,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Often,3,Always,4,Rarely,1,Often,3,Sometimes,2,Often,3,Always,4,Sometimes,2,Rarely,1,Sometimes,2,N/A,0,28,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Often,4,Sometimes,3,Always,5,Sometimes,3,15,Often,4,Often,4,Sometimes,3,Always,5,Sometimes,3,19,Agree,2,Agree,2,Slightly Agree,3,Agree,2,Agree,2,Agree,2,Agree,5,Slightly Disagree,3,Agree,5,26,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,4,Agree,3,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Neutral,2,57
A4298,17,2020-09-16T12:02:43Z,2020-09-16T12:16:57Z,Complete,1988,Sonoma,La Luz I,Every day,4,3 to 6 times a week,3,Every day,4,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,NA,Often,4,19,Somewhat Agree,4,Somewhat Disagree,4,Disagree,5,Disagree,5,Somewhat Agree,3,Somewhat Agree,4,Agree,5,Agree,5,Somewhat Disagree,3,Agree,5,43,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Often,3,Often,3,Often,3,Sometimes,2,Rarely,1,Sometimes,2,Often,3,Often,3,Always,4,Often,3,N/A,0,30,N/A,0,Always,4,Always,4,Always,4,Always,4,16,Often,4,Often,4,Often,4,Often,4,16,Often,4,Often,4,Often,4,Often,4,Often,4,20,Slightly Disagree,4,Slightly Agree,3,Slightly Disagree,4,Disagree,5,Disagree,5,Slightly Disagree,4,Slightly Agree,4,Slightly Agree,4,Slightly Disagree,3,36,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Disagree,3,Disagree,3,Agree,3,Agree,3,Agree,1,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Disagree,3,48
NA,18,2020-09-16T12:15:15Z,2020-09-16T12:15:23Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5117,19,2020-09-18T14:31:38Z,2020-09-18T15:33:44Z,Complete,1986,Sonoma,La Luz II,Not at all,1,Not at all,1,Not at all,1,Every day,4,Parents should <strong>always</strong> spend time teaching their children,NA,Sometimes,3,10,Strongly Agree,6,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,38,N/A,0,N/A,0,N/A,0,N/A,0,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Always,4,Rarely,1,Rarely,1,N/A,0,15,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Sometimes,3,Always,5,Sometimes,3,16,Always,5,Always,5,Always,5,Always,5,Never,1,21,Strongly Agree,1,Strongly Agree,1,Slightly Agree,3,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,26,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Strongly Agree,0,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,0,Strongly Agree,0,Strongly Agree,0,Strongly Agree,0,Strongly Agree,0,25
A8244,20,2020-09-18T14:36:10Z,2020-09-18T14:38:47Z,Partial,1987,Sonoma,La Luz II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
