UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Houston Sites,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,...25,Parental Stress_PSOC #3,...27,Parental Stress_PSOC #5,...29,Parental Stress_PSOC #8,...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,PSOC_ALL,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB_ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,...109,Belonging SCS2,...111,Belonging SCS3,...113,Belonging SCS4,...115,Belonging SCS5,...117,Belonging SCS6,...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,...128,Kinder Readiness SPEAK2,...130,Kinder Readiness SPEAK3,...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,...138,Kinder Readiness SPEAK7 - REVERSE,...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL
A6794,8,2020-10-09T11:00:07Z,2020-10-09T11:12:11Z,Complete,1980,Houston,Freeman,Every day,4,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,15,Agree,5,Somewhat Agree,3,Strongly Disagree,6,Disagree,5,Strongly Agree,1,Somewhat Agree,4,Agree,5,Somewhat Disagree,3,Somewhat Disagree,3,Somewhat Agree,4,39,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,7,Always,4,Always,4,Sometimes,2,Often,3,Often,3,Often,3,Often,3,Always,4,Always,4,Often,3,Always,4,Always,4,41,Often,3,Sometimes,2,Often,3,Sometimes,2,Often,3,13,Seldom,2,Sometimes,3,Often,4,Often,4,13,Sometimes,3,Sometimes,3,Often,4,Often,4,Sometimes,3,17,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Slightly Agree,4,44,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Agree,3,Agree,3,Neutral,2,Disagree,3,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Neutral,2,50
A3493,6,2020-10-09T10:52:09Z,2020-10-09T11:09:35Z,Complete,1995,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,12,Strongly Agree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,54,Often,3,Always,4,Often,3,Always,4,14,Always,4,Often,3,Always,4,Often,3,Always,4,Sometimes,2,Sometimes,2,Always,4,Always,4,Always,4,Often,3,Always,4,41,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Often,4,Always,5,24,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Agree,5,Strongly Agree,6,53,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Disagree,3,Strongly Agree,4,Disagree,1,Agree,1,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,51
A3132,13,2020-10-09T11:27:46Z,2020-10-09T11:30:16Z,Partial,1989,Houston,Freeman,1 to 2 times  a week,NA,1 to 2 times a week,NA,Every day,NA,Every day,NA,Parents should <strong>always</strong> spend time teaching their children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A7712,23,2020-10-09T23:33:36Z,2020-10-10T00:04:11Z,Complete,1988,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Agree,5,Somewhat Agree,3,Disagree,5,Strongly Disagree,6,Agree,2,Somewhat Agree,4,Strongly Agree,6,Strongly Agree,6,Disagree,2,Strongly Agree,6,45,Rarely,1,Always,4,Always,4,Sometimes,2,11,Often,3,Often,3,Often,3,Often,3,Always,4,Often,3,Often,3,Often,3,Always,4,Always,4,Always,4,Always,4,41,Always,4,Often,3,Always,4,Always,4,Often,3,18,Always,5,Often,4,Always,5,Always,5,19,Often,4,Always,5,Always,5,Always,5,Always,5,24,Slightly Agree,3,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Disagree,5,Slightly Agree,3,Slightly Agree,4,Disagree,2,Slightly Disagree,3,31,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Strongly Disagree,4,Agree,3,Agree,3,Neutral,2,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Disagree,3,Strongly Disagree,4,Disagree,3,54
A9775,34,2020-10-12T13:33:17Z,2020-10-12T13:44:30Z,Complete,1972,Houston,Freeman,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>usually</strong> allow their children to learn <strong>on their own</strong>,0,NA,NA,10,Agree,5,Somewhat Agree,3,Agree,2,Somewhat Disagree,4,Agree,2,Agree,5,Strongly Agree,6,Agree,5,Somewhat Disagree,3,Strongly Agree,6,41,N/A,0,N/A,0,N/A,0,Sometimes,2,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Often,3,Often,3,Often,3,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,N/A,0,25,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Sometimes,3,Often,4,Often,4,Often,4,15,Often,4,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,17,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"In preschool, 3 to 5 years",2,"In preschool, 3 to 5 years",2,"In preschool, 3 to 5 years",2,Neutral,2,Neutral,2,Disagree,1,Agree,3,Agree,1,Neutral,2,Neutral,2,Agree,1,Disagree,3,Disagree,3,Disagree,3,Agree,1,30
A9437,10,2020-10-09T11:01:04Z,2020-10-09T11:14:47Z,Complete,1981,Houston,Freeman,Not at all,1,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,8,Agree,5,Somewhat Agree,3,Disagree,5,Strongly Disagree,6,Agree,2,Agree,5,Agree,5,Agree,5,Strongly Disagree,1,Agree,5,42,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Rarely,1,Often,3,Rarely,1,Often,3,Rarely,1,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,N/A,0,18,N/A,0,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,5,Often,4,Often,4,Often,4,Often,4,16,Never,1,Always,5,Often,4,Always,5,Seldom,2,17,Disagree,5,Agree,2,Strongly Disagree,6,Slightly Agree,3,Disagree,5,Strongly Disagree,6,Agree,5,Agree,5,Strongly Disagree,1,38,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Strongly Disagree,4,Disagree,1,Agree,3,Disagree,3,Neutral,2,Agree,1,Disagree,3,Disagree,3,Disagree,3,Agree,1,Agree,1,42
A3839,19,2020-10-09T12:38:25Z,2020-10-09T12:52:47Z,Complete,1991,Houston,Kruse,Every day,4,1 to 2 times a week,2,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,13,Agree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Somewhat Agree,3,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,50,N/A,0,Often,3,N/A,0,N/A,0,3,Sometimes,2,Always,4,Always,4,Always,4,Sometimes,2,Sometimes,2,Rarely,1,Often,3,Sometimes,2,Always,4,Always,4,Always,4,36,N/A,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,8,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Often,4,24,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Agree,5,Strongly Agree,6,53,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,0,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Strongly Disagree,4,Neutral,2,41
A4358,45,2020-10-13T20:18:26Z,2020-10-13T20:28:56Z,Complete,1989,Houston,Freeman,Every day,4,Every day,4,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,16,Somewhat Agree,4,Somewhat Agree,3,Disagree,5,Somewhat Agree,3,Somewhat Agree,3,Somewhat Agree,4,Agree,5,Somewhat Agree,4,Disagree,2,Strongly Agree,6,39,Sometimes,2,Always,4,Always,4,Often,3,13,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Sometimes,2,46,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Always,5,25,Slightly Disagree,4,Slightly Disagree,4,Slightly Disagree,4,Agree,2,Disagree,5,Disagree,5,Strongly Agree,6,Slightly Disagree,3,Strongly Agree,6,39,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Agree,1,Disagree,3,Strongly Agree,4,Disagree,1,Agree,1,Strongly Disagree,4,Agree,1,Agree,1,Strongly Agree,0,Disagree,3,Disagree,3,Agree,1,35
A1156,20,2020-10-09T12:58:49Z,2020-10-09T18:24:31Z,Complete,1993,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Agree,5,Disagree,5,Somewhat Disagree,4,Strongly Disagree,6,Somewhat Agree,3,Agree,5,Agree,5,Strongly Agree,6,Agree,5,Strongly Agree,6,50,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,5,Often,3,Often,3,Often,3,Often,3,Often,3,Sometimes,2,Often,3,Often,3,Often,3,Often,3,Sometimes,2,Often,3,34,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,11,Always,5,Always,5,Often,4,Sometimes,3,17,Sometimes,3,Always,5,Sometimes,3,Always,5,Often,4,20,Slightly Disagree,4,Slightly Disagree,4,Disagree,5,Slightly Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Slightly Agree,4,Slightly Agree,4,Slightly Agree,4,41,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Disagree,1,Disagree,1,Disagree,3,Strongly Disagree,4,Disagree,3,Disagree,3,Strongly Disagree,4,Disagree,3,Strongly Disagree,4,Agree,1,50
A3671,31,2020-10-12T12:33:17Z,2020-10-12T12:54:31Z,Complete,1983,Houston,Freeman,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,Not at all,1,Parents should <strong>always</strong> spend time teaching their children,1,Often,4,14,Somewhat Agree,4,Somewhat Disagree,4,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Strongly Agree,6,Agree,5,Somewhat Disagree,3,Strongly Agree,6,46,N/A,0,Sometimes,2,Rarely,1,Sometimes,2,5,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Always,4,Sometimes,2,Always,4,Always,4,Often,3,Often,3,Always,4,35,Often,3,Often,3,Often,3,Sometimes,2,Often,3,14,Always,5,Always,5,Often,4,Always,5,19,Always,5,Always,5,Often,4,Often,4,Always,5,23,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Disagree,5,Agree,5,Strongly Agree,6,Strongly Agree,6,51,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Agree,1,Neutral,2,Disagree,1,Agree,3,Neutral,2,Neutral,2,Agree,1,Agree,1,Disagree,3,Disagree,3,Disagree,3,Strongly Agree,0,34
A7847,56,2020-10-14T22:33:49Z,2020-10-14T22:59:53Z,Complete,1983,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,9,Agree,5,Strongly Disagree,6,Disagree,5,Somewhat Agree,3,Somewhat Agree,3,Strongly Agree,6,Somewhat Agree,4,Agree,5,Disagree,2,Agree,5,44,N/A,0,Rarely,1,Sometimes,2,Rarely,1,4,Sometimes,2,Sometimes,2,Always,4,Often,3,Sometimes,2,Always,4,Rarely,1,Often,3,Often,3,Always,4,Often,3,Sometimes,2,33,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,9,Often,4,Often,4,Often,4,Often,4,16,Always,5,Often,4,Sometimes,3,Always,5,Sometimes,3,20,Disagree,5,Slightly Agree,3,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Disagree,2,Agree,5,40,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Agree,1,Disagree,3,Disagree,1,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Agree,1,Disagree,3,Agree,1,Disagree,3,35
A1613,54,2020-10-14T18:51:08Z,2020-10-14T19:31:34Z,Complete,1979,Houston,Kruse,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Somewhat Disagree,3,Disagree,5,Agree,2,Somewhat Agree,3,Disagree,5,Somewhat Agree,4,Disagree,2,Somewhat Agree,4,Disagree,2,Somewhat Agree,4,34,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,8,Sometimes,2,Sometimes,2,Often,3,Often,3,Always,4,Often,3,Sometimes,2,Often,3,Often,3,Always,4,Rarely,1,Often,3,33,Often,3,Often,3,Often,3,Often,3,Sometimes,2,14,Often,4,Often,4,Always,5,Sometimes,3,16,Often,4,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,16,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,51,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Neutral,2,Neutral,2,Disagree,1,Disagree,3,Disagree,3,Agree,1,Agree,1,Disagree,3,Neutral,2,Disagree,3,Disagree,3,43
A6799,16,2020-10-09T11:31:48Z,2020-10-09T22:19:06Z,Complete,1981,Houston,Freeman,3 to 6 times a week,3,1 to 2 times a week,2,3 to 6 times a week,3,Not at all,1,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Agree,2,Somewhat Disagree,4,Disagree,5,Agree,2,Somewhat Agree,4,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,39,Rarely,1,N/A,0,N/A,0,Rarely,1,2,Often,3,Sometimes,2,Often,3,Often,3,Sometimes,2,Often,3,Rarely,1,Often,3,Often,3,Always,4,Sometimes,2,Often,3,32,Often,3,Rarely,1,Sometimes,2,Rarely,1,Often,3,10,Often,4,Often,4,Often,4,Sometimes,3,15,Sometimes,3,Often,4,Always,5,Always,5,Sometimes,3,20,Slightly Agree,3,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Slightly Agree,4,42,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Disagree,3,Disagree,3,Neutral,2,Agree,3,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Strongly Disagree,4,Disagree,3,48
A9373,24,2020-10-12T10:39:34Z,2020-10-12T10:40:09Z,Partial,1993,Houston,Freeman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3245,25,2020-10-12T10:39:19Z,2020-10-12T10:45:29Z,Partial,1989,Houston,Kruse,1 to 2 times  a week,NA,1 to 2 times a week,NA,1 to 2 times a week,NA,1 to 2 times a week,NA,Parents should <strong>always</strong> spend time teaching their children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,26,2020-10-12T10:41:15Z,2020-10-12T19:47:42Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9657,27,2020-10-12T11:07:07Z,2020-10-12T13:10:04Z,Partial,1998,Houston,Freeman,1 to 2 times  a week,NA,1 to 2 times a week,NA,1 to 2 times a week,NA,Not at all,NA,Parents should <strong>always</strong> spend time teaching their children,NA,NA,NA,NA,Somewhat Disagree,NA,Strongly Disagree,NA,Somewhat Agree,NA,Somewhat Disagree,NA,Disagree,NA,Somewhat Agree,NA,Agree,NA,Agree,NA,Somewhat Agree,NA,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2152,5,2020-10-09T10:50:53Z,2020-10-09T11:29:59Z,Complete,1983,Houston,Freeman,1 to 2 times  a week,2,Not at all,1,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,8,Agree,5,Somewhat Agree,3,Agree,2,Disagree,5,Agree,2,Disagree,2,Agree,5,Somewhat Agree,4,Disagree,2,Somewhat Agree,4,34,Always,4,Always,4,Sometimes,2,Sometimes,2,12,Rarely,1,Rarely,1,Often,3,Sometimes,2,Often,3,Always,4,Rarely,1,Sometimes,2,Rarely,1,Always,4,Sometimes,2,Always,4,28,Always,4,Often,3,Always,4,Rarely,1,Always,4,16,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Always,5,25,Slightly Agree,3,Agree,2,Disagree,5,Strongly Disagree,6,Disagree,5,Disagree,5,Slightly Agree,4,Strongly Agree,6,Slightly Agree,4,40,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,"In elementary school, 6 years and up",0,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,0,Strongly Disagree,0,Strongly Agree,0,Strongly Disagree,4,Strongly Agree,0,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,36
A7712,30,2020-10-12T12:25:36Z,2020-10-12T12:26:11Z,Partial,1988,Houston,Kruse,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1999,70,2020-10-25T16:31:31Z,2020-10-26T11:50:44Z,Complete,1977,Houston,Kruse,3 to 6 times a week,3,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Strongly Disagree,1,Somewhat Agree,3,Disagree,5,Somewhat Agree,3,Strongly Agree,1,Agree,5,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,37,N/A,0,Always,4,N/A,0,Always,4,8,Often,3,Often,3,Always,4,Always,4,Sometimes,2,Rarely,1,Always,4,Often,3,Often,3,Sometimes,2,Often,3,N/A,0,32,Sometimes,2,Often,3,Often,3,Sometimes,2,Sometimes,2,12,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Often,4,Always,5,Always,5,24,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Strongly Agree,6,Slightly Agree,4,Slightly Agree,4,42,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,0,Strongly Disagree,0,Strongly Agree,0,Strongly Agree,0,Strongly Agree,0,Neutral,2,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Agree,0,30
NA,32,2020-10-12T13:31:06Z,2020-10-12T13:31:16Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
