UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,San Antonio Sites,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,...25,Parental Stress_PSOC #3,...27,Parental Stress_PSOC #5,...29,Parental Stress_PSOC #8,...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,PSOC_ALL,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB_ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,FESFAM_ALL,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,FESADV_ALL,Belonging SCS1,...109,Belonging SCS2,...111,Belonging SCS3,...113,Belonging SCS4,...115,Belonging SCS5,...117,Belonging SCS6,...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,SCS_ALL,Kinder Readiness SPEAK1,...128,Kinder Readiness SPEAK2,...130,Kinder Readiness SPEAK3,...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,...138,Kinder Readiness SPEAK7 - REVERSE,...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL
A2864,67,2020-10-28T13:47:57Z,2020-10-28T14:01:04Z,Complete,1991,San Antonio,Cortez Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,16,Somewhat Agree,4,Somewhat Agree,3,Agree,2,Somewhat Disagree,4,Agree,2,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Agree,5,38,N/A,0,Often,3,Sometimes,2,Rarely,1,6,Often,3,Sometimes,2,Always,4,Sometimes,2,Always,4,Often,3,Often,3,Often,3,Sometimes,2,Always,4,Always,4,Often,3,37,Often,3,Often,3,Often,3,Rarely,1,Often,3,13,Often,4,Often,4,Often,4,Always,5,17,Always,5,Always,5,Sometimes,3,Sometimes,3,Often,4,20,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Slightly Agree,3,Disagree,5,Slightly Disagree,4,Agree,5,Agree,5,Slightly Agree,4,37,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Neutral,2,Disagree,3,Agree,3,Neutral,2,Disagree,3,Neutral,2,Neutral,2,Neutral,2,Agree,1,Disagree,3,Disagree,3,Neutral,2,39
A2598,69,2020-10-28T16:06:29Z,2020-10-28T16:16:38Z,Complete,1992,San Antonio,Cortez Family Center,1 to 2 times  a week,2,Every day,4,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,13,Strongly Agree,6,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Agree,1,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Strongly Disagree,1,Strongly Agree,6,49,N/A,0,N/A,0,N/A,0,Sometimes,2,2,Always,4,Often,3,Always,4,Always,4,Often,3,Often,3,Often,3,Always,4,Always,4,Always,4,Sometimes,2,Always,4,42,Always,4,Always,4,Often,3,Always,4,Always,4,19,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Always,5,25,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Strongly Agree,6,Agree,5,53,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Agree,1,Neutral,2,Strongly Agree,4,Strongly Agree,0,Agree,1,Neutral,2,Neutral,2,Strongly Disagree,4,Neutral,2,Strongly Disagree,4,Agree,1,36
A2273,70,2020-10-28T19:49:49Z,2020-10-28T21:10:09Z,Complete,1993,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,16,Agree,5,Agree,2,Somewhat Agree,3,Agree,2,Somewhat Agree,3,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,43,Sometimes,2,Often,3,N/A,0,Sometimes,2,7,Sometimes,2,Often,3,Often,3,Always,4,Often,3,Always,4,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Sometimes,2,39,Always,4,Often,3,Always,4,Sometimes,2,Always,4,17,Often,4,Often,4,Often,4,Sometimes,3,15,Always,5,Often,4,Always,5,Always,5,Often,4,23,Strongly Agree,1,Agree,2,Agree,2,Strongly Agree,1,Slightly Agree,3,Agree,2,Disagree,2,Strongly Disagree,1,Disagree,2,16,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Disagree,3,Agree,3,Agree,3,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Agree,1,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,56
A2455,71,2020-10-29T10:03:01Z,2020-11-01T14:49:18Z,Complete,1998,San Antonio,Cortez Family Center,Not at all,1,Not at all,1,Every day,4,Not at all,1,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,13,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Agree,5,Strongly Agree,6,Disagree,2,Disagree,2,43,N/A,0,Always,4,N/A,0,Always,4,8,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Always,4,46,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Sometimes,3,23,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Disagree,2,Agree,5,42,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Agree,1,Neutral,2,Agree,3,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Neutral,2,Disagree,3,Agree,1,39
A5854,72,2020-10-29T10:23:37Z,2020-10-29T10:32:20Z,Complete,1983,San Antonio,Cortez Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,17,Agree,5,Strongly Disagree,6,Disagree,5,Disagree,5,Disagree,5,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Disagree,2,Strongly Agree,6,52,Always,4,Always,4,Always,4,Always,4,16,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,48,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Often,4,Always,5,Always,5,Always,5,Always,5,24,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Disagree,3,Disagree,3,Disagree,1,Disagree,1,Agree,1,Agree,1,Neutral,2,Agree,1,Disagree,3,Disagree,3,Disagree,3,Neutral,2,35
A7636,74,2020-10-29T12:05:47Z,2020-10-29T12:22:59Z,Complete,1994,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Strongly Agree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Disagree,2,Strongly Agree,6,56,Sometimes,2,Sometimes,2,N/A,0,Sometimes,2,6,Sometimes,2,Sometimes,2,Always,4,Always,4,Sometimes,2,Rarely,1,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Always,4,37,Always,4,Always,4,Sometimes,2,Sometimes,2,Always,4,16,Always,5,Always,5,Always,5,Always,5,20,Sometimes,3,Always,5,Sometimes,3,Always,5,Sometimes,3,19,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,54,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,0,Strongly Disagree,0,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,45
A1118,75,2020-10-29T12:18:30Z,2020-10-29T12:39:10Z,Complete,1985,San Antonio,Cortez Family Center,Every day,4,1 to 2 times a week,2,Every day,4,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,16,Somewhat Agree,4,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Somewhat Agree,4,Strongly Agree,6,Agree,5,Strongly Disagree,1,Strongly Agree,6,44,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Sometimes,2,Often,3,Often,3,Always,4,Often,3,Rarely,1,Often,3,Always,4,Often,3,Always,4,N/A,0,33,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Always,5,Often,4,Often,4,18,Seldom,2,Sometimes,3,Seldom,2,Seldom,2,Sometimes,3,12,Slightly Agree,3,Disagree,5,Disagree,5,Slightly Disagree,4,Disagree,5,Slightly Disagree,4,Slightly Agree,4,Strongly Agree,6,Slightly Agree,4,40,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Disagree,3,Strongly Agree,4,Agree,3,Neutral,2,Disagree,3,Agree,1,Neutral,2,Strongly Disagree,4,Disagree,3,Disagree,3,Disagree,3,50
A6264,76,2020-10-29T12:42:30Z,2020-10-29T13:04:31Z,Complete,1997,San Antonio,Cortez Family Center,Every day,4,Every day,4,Not at all,1,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,18,Agree,5,Strongly Disagree,6,Strongly Agree,1,Agree,2,Strongly Agree,1,Disagree,2,Disagree,2,Somewhat Disagree,3,Somewhat Disagree,3,Strongly Agree,6,31,N/A,0,N/A,0,N/A,0,N/A,0,0,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,N/A,0,13,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Sometimes,3,Never,1,Often,4,Never,1,9,Never,1,Never,1,Never,1,Sometimes,3,Seldom,2,8,Strongly Agree,1,Agree,2,Strongly Agree,1,Agree,2,Agree,2,Strongly Agree,1,Agree,5,Slightly Agree,4,Agree,5,23,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Strongly Disagree,4,Disagree,3,Agree,3,Neutral,2,Strongly Agree,0,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Agree,1,41
A3267,77,2020-10-29T14:59:39Z,2020-10-29T15:09:53Z,Complete,1960,San Antonio,Cortez Family Center,1 to 2 times  a week,2,3 to 6 times a week,3,Not at all,1,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,Sometimes,3,12,Agree,5,Disagree,5,Disagree,5,Agree,2,Somewhat Disagree,4,Agree,5,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Disagree,3,43,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,8,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,24,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,10,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,12,Sometimes,3,Often,4,Sometimes,3,Seldom,2,Sometimes,3,15,Disagree,5,Agree,2,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Disagree,2,Agree,5,39,"In preschool, 3 to 5 years",2,"In kindergarten, 5 to 6 years",1,"In kindergarten, 5 to 6 years",1,Disagree,3,Agree,1,Agree,3,Agree,3,Neutral,2,Neutral,2,Agree,1,Agree,1,Neutral,2,Neutral,2,Neutral,2,Neutral,2,28
A1922,80,2020-10-29T19:46:56Z,2020-10-29T20:15:37Z,Complete,1981,San Antonio,Cortez Family Center,1 to 2 times  a week,2,Every day,4,Every day,4,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,Often,4,19,Strongly Agree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Somewhat Agree,3,Agree,5,Strongly Agree,6,Somewhat Disagree,3,Strongly Disagree,1,Strongly Agree,6,48,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Often,3,Always,4,Often,3,Often,3,Always,4,Often,3,Often,3,Always,4,Often,3,Often,3,N/A,0,36,N/A,0,Often,3,Often,3,Often,3,Always,4,13,Always,5,Often,4,Always,5,Often,4,18,Often,4,Always,5,Always,5,Always,5,Always,5,24,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,51,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Agree,3,Strongly Agree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Strongly Disagree,4,60
A6212,81,2020-10-29T21:04:30Z,2020-10-29T21:17:09Z,Complete,1986,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,16,Agree,5,Strongly Disagree,6,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,Strongly Disagree,1,Strongly Agree,6,48,Sometimes,2,Often,3,Sometimes,2,Always,4,11,Often,3,Often,3,Always,4,Always,4,Often,3,Always,4,Often,3,Often,3,Always,4,Always,4,Always,4,Always,4,43,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Sometimes,3,Always,5,Always,5,Always,5,Always,5,23,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,53,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,0,Strongly Agree,4,Strongly Agree,0,Strongly Disagree,4,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,49
A5796,83,2020-10-30T09:58:51Z,2020-10-30T11:05:58Z,Disqualified,1995,San Antonio,Cortez Family Center,1 to 2 times  a week,2,3 to 6 times a week,NA,Every day,NA,Every day,NA,Parents should <strong>usually</strong> spend time teaching their children,NA,Sometimes,3,NA,Agree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Agree,NA,Somewhat Disagree,NA,Somewhat Agree,NA,Agree,NA,Agree,NA,Somewhat Disagree,NA,Strongly Agree,NA,NA,N/A,NA,N/A,NA,N/A,NA,N/A,NA,NA,Rarely,NA,Always,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Rarely,NA,Rarely,NA,Rarely,NA,Rarely,NA,Rarely,NA,N/A,NA,NA,N/A,NA,Rarely,NA,Rarely,NA,Rarely,NA,Rarely,NA,NA,Never,NA,Sometimes,NA,Never,NA,Sometimes,NA,NA,Always,NA,Often,NA,Never,NA,Never,NA,Never,NA,NA,Slightly Disagree,NA,Slightly Disagree,NA,Disagree,NA,Slightly Agree,NA,Disagree,NA,Disagree,NA,Slightly Agree,NA,Disagree,NA,Slightly Agree,NA,NA,"As an infant, 0 to 6 months",NA,"As an infant, 0 to 6 months",NA,"As an infant, 0 to 6 months",NA,Neutral,NA,Disagree,NA,Agree,NA,Neutral,NA,Neutral,NA,Neutral,NA,Neutral,NA,Neutral,NA,Neutral,NA,Neutral,NA,Disagree,NA,Neutral,NA,NA
A5119,84,2020-11-02T10:40:20Z,2020-11-02T10:51:21Z,Complete,1997,San Antonio,Cortez Family Center,Every day,4,Every day,4,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Sometimes,3,18,Agree,5,Somewhat Agree,3,Somewhat Disagree,4,Strongly Disagree,6,Somewhat Agree,3,Somewhat Agree,4,Agree,5,Somewhat Disagree,3,Somewhat Disagree,3,Strongly Agree,6,42,N/A,0,N/A,0,N/A,0,Rarely,1,1,Often,3,Often,3,Always,4,Always,4,Always,4,Always,4,Rarely,1,Always,4,Sometimes,2,Always,4,Sometimes,2,Always,4,39,Always,4,Always,4,Always,4,Often,3,Often,3,18,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,13,Sometimes,3,Seldom,2,Sometimes,3,Often,4,Sometimes,3,15,Disagree,5,Slightly Disagree,4,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,44,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Agree,1,Disagree,3,Agree,3,Neutral,2,Agree,1,Disagree,3,Neutral,2,Agree,1,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Agree,1,42
A9325,85,2020-11-02T12:17:30Z,2020-11-02T12:34:01Z,Complete,1980,San Antonio,Cortez Family Center,Every day,4,1 to 2 times a week,2,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Sometimes,3,18,Agree,5,Somewhat Disagree,4,Agree,2,Agree,2,Agree,2,Agree,5,Somewhat Agree,4,Somewhat Disagree,3,Somewhat Disagree,3,Agree,5,35,Sometimes,2,N/A,0,N/A,0,Sometimes,2,4,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,26,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,10,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,12,Sometimes,3,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,16,Slightly Disagree,4,Disagree,5,Slightly Disagree,4,Disagree,5,Disagree,5,Agree,2,Agree,5,Agree,5,Disagree,2,37,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Agree,1,Agree,1,Agree,3,Agree,3,Neutral,2,Neutral,2,Agree,1,Neutral,2,Neutral,2,Agree,1,Disagree,3,Neutral,2,36
A8445,86,2020-11-02T15:18:40Z,2020-11-02T15:31:30Z,Complete,1987,San Antonio,Cortez Family Center,1 to 2 times  a week,2,1 to 2 times a week,2,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,10,Somewhat Agree,4,Somewhat Disagree,4,Disagree,5,Disagree,5,Agree,2,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,Somewhat Agree,4,40,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Rarely,1,Sometimes,2,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Often,3,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,19,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,8,Seldom,2,Often,4,Often,4,Sometimes,3,13,Often,4,Sometimes,3,Sometimes,3,Often,4,Seldom,2,16,Slightly Disagree,4,Slightly Disagree,4,Slightly Agree,3,Disagree,5,Disagree,5,Slightly Disagree,4,Slightly Disagree,3,Slightly Agree,4,Slightly Disagree,3,35,"In preschool, 3 to 5 years",2,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Agree,1,Disagree,3,Disagree,1,Agree,3,Neutral,2,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Agree,1,34
A6229,87,2020-11-02T17:21:11Z,2020-11-02T17:31:36Z,Complete,1986,San Antonio,Cortez Family Center,Not at all,1,1 to 2 times a week,2,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,15,Agree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Strongly Agree,6,Somewhat Agree,4,Disagree,2,Somewhat Disagree,3,45,N/A,0,N/A,0,N/A,0,Often,3,3,Sometimes,2,Sometimes,2,Rarely,1,Often,3,Rarely,1,Often,3,Rarely,1,Often,3,Rarely,1,Often,3,Sometimes,2,Often,3,25,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,5,Often,4,Often,4,Often,4,Often,4,16,Sometimes,3,Often,4,Often,4,Often,4,Often,4,19,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,45,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Neutral,2,Disagree,3,Agree,3,Agree,3,Agree,1,Disagree,3,Agree,1,Agree,1,Disagree,3,Disagree,3,Disagree,3,Agree,1,42
A1236,89,2020-11-03T12:18:53Z,2020-11-03T12:50:55Z,Complete,1991,San Antonio,Fenley (School Based) Family Center,Every day,4,1 to 2 times a week,2,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,20,Strongly Agree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,1,Somewhat Agree,4,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,51,N/A,0,Sometimes,2,Always,4,Rarely,1,7,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,48,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Sometimes,3,Sometimes,3,21,Slightly Agree,3,Slightly Agree,3,Strongly Disagree,6,Strongly Disagree,6,Slightly Agree,3,Slightly Agree,3,Agree,5,Slightly Disagree,3,Agree,5,37,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,Strongly Agree,0,Strongly Agree,0,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Agree,1,Agree,1,Agree,1,Strongly Agree,0,Strongly Agree,0,Strongly Disagree,4,Agree,1,28
A8388,90,2020-11-03T13:08:20Z,2020-11-03T13:27:10Z,Complete,1993,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,Every day,4,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,18,Somewhat Agree,4,Somewhat Agree,3,Somewhat Disagree,4,Strongly Agree,1,Somewhat Agree,3,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Somewhat Agree,4,Somewhat Agree,4,41,N/A,0,Always,4,N/A,0,Sometimes,2,6,Always,4,Always,4,Always,4,Always,4,Always,4,Always,4,Sometimes,2,Always,4,Always,4,Always,4,Always,4,Always,4,46,Always,4,Always,4,Always,4,Always,4,Always,4,20,Always,5,Sometimes,3,Always,5,Always,5,18,Sometimes,3,Always,5,Always,5,Sometimes,3,Sometimes,3,19,Slightly Disagree,4,Slightly Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Slightly Disagree,4,Strongly Disagree,6,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,48,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,Strongly Agree,0,Strongly Agree,0,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Neutral,2,Disagree,3,Disagree,3,Strongly Agree,0,Disagree,3,Disagree,3,Strongly Agree,0,31
A5354,91,2020-11-03T13:51:50Z,2020-11-03T16:49:57Z,Complete,1996,San Antonio,Fenley (School Based) Family Center,1 to 2 times  a week,2,Every day,4,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,18,Agree,5,Somewhat Disagree,4,Somewhat Disagree,4,Somewhat Disagree,4,Agree,2,Agree,5,Agree,5,Agree,5,Strongly Disagree,1,Strongly Agree,6,41,Rarely,1,Often,3,Sometimes,2,Sometimes,2,8,Often,3,Often,3,Always,4,Sometimes,2,Always,4,Often,3,Sometimes,2,Often,3,Often,3,Often,3,Often,3,Often,3,36,Often,3,Often,3,Always,4,Often,3,Often,3,16,Often,4,Often,4,Always,5,Often,4,17,Often,4,Often,4,Often,4,Often,4,Often,4,20,Slightly Agree,3,Slightly Agree,3,Disagree,5,Slightly Disagree,4,Slightly Agree,3,Slightly Disagree,4,Agree,5,Slightly Agree,4,Strongly Agree,6,37,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Disagree,4,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Agree,1,Strongly Disagree,4,50
